Tue Aug 14 2018 20:40:01Nilai ballast : -0.11962, Nilai error teta : 0.0665999949109.21859741-170.5393981934, Error pitch : 0.0653
Tue Aug 14 2018 20:40:03Nilai ballast : -0.12422, Nilai error teta : 0.0641999841112.75360107-175.5370025635, Error pitch : 0.0642
Tue Aug 14 2018 20:40:05Nilai ballast : -0.12746, Nilai error teta : 0.0641999841112.75360107-175.5370025635, Error pitch : 0.0642
Tue Aug 14 2018 20:40:08Nilai ballast : -0.12794, Nilai error teta : 0.0594999939114.23159790-177.8379058838, Error pitch : 0.0595
Tue Aug 14 2018 20:40:10Nilai ballast : -0.12967, Nilai error teta : 0.0526999831115.08760070-179.2888946533, Error pitch : 0.0571
Tue Aug 14 2018 20:40:12Nilai ballast : -0.12900, Nilai error teta : 0.0508999974115.36879730-179.7879943848, Error pitch : 0.0509
Tue Aug 14 2018 20:40:15Nilai ballast : -0.12999, Nilai error teta : 0.0465999842116.19920349-181.3251953125, Error pitch : 0.0479
Tue Aug 14 2018 20:40:17Nilai ballast : -0.13056, Nilai error teta : 0.0445999950116.73950195-182.3778076172, Error pitch : 0.0446
Tue Aug 14 2018 20:40:19Nilai ballast : -0.13237, Nilai error teta : 0.0414999872117.57099914-183.9674072266, Error pitch : 0.0437
Tue Aug 14 2018 20:40:21Nilai ballast : -0.13191, Nilai error teta : 0.0390999913117.86280059-184.4976959229, Error pitch : 0.0391
Tue Aug 14 2018 20:40:24Nilai ballast : -0.13029, Nilai error teta : 0.0326999873117.86280059-184.4976959229, Error pitch : 0.0327
Tue Aug 14 2018 20:40:26Nilai ballast : -0.13038, Nilai error teta : 0.0296999961117.86280059-184.4976959229, Error pitch : 0.0297
Tue Aug 14 2018 20:40:28Nilai ballast : -0.13056, Nilai error teta : 0.0272999853117.86280059-184.4976959229, Error pitch : 0.0273
Tue Aug 14 2018 20:40:30Nilai ballast : -0.13096, Nilai error teta : 0.0246999860117.86280059-184.4976959229, Error pitch : 0.0255
Tue Aug 14 2018 20:40:33Nilai ballast : -0.13147, Nilai error teta : 0.0234999955121.79170227-191.0272064209, Error pitch : 0.0241
Tue Aug 14 2018 20:40:35Nilai ballast : -0.13237, Nilai error teta : 0.0234999955121.79170227-191.0272064209, Error pitch : 0.0235
Tue Aug 14 2018 20:40:37Nilai ballast : -0.13357, Nilai error teta : 0.0234999955121.79170227-191.0272064209, Error pitch : 0.0235
Tue Aug 14 2018 20:40:39Nilai ballast : -0.13591, Nilai error teta : 0.0234999955121.79170227-191.0272064209, Error pitch : 0.0235
Tue Aug 14 2018 20:40:42Nilai ballast : -0.13709, Nilai error teta : 0.0234999955121.79170227-191.0272064209, Error pitch : 0.0235
Tue Aug 14 2018 20:41:50Nilai ballast : -0.16717, Nilai error teta : 0.0200999975128.60800170-240.3321075439, Error pitch : 0.0201
Tue Aug 14 2018 20:41:52Nilai ballast : 0.13342, Nilai error teta : -0.499899983128.26890563-241.6136016846, Error pitch : -0.4999
Tue Aug 14 2018 20:41:54Nilai ballast : 0.14450, Nilai error teta : -0.502799987128.26890563-241.6136016846, Error pitch : -0.5028
Tue Aug 14 2018 20:41:57Nilai ballast : 0.15877, Nilai error teta : -0.484200000128.26890563-241.6136016846, Error pitch : -0.4842
Tue Aug 14 2018 20:41:59Nilai ballast : 0.12710, Nilai error teta : -0.340099990128.26890563-241.6136016846, Error pitch : -0.3869
Tue Aug 14 2018 20:42:01Nilai ballast : 0.07414, Nilai error teta : -0.257200002128.26890563-241.6136016846, Error pitch : -0.2572
Tue Aug 14 2018 20:42:03Nilai ballast : 0.05748, Nilai error teta : -0.199599981128.26890563-241.6136016846, Error pitch : -0.1996
Tue Aug 14 2018 20:42:06Nilai ballast : 0.05968, Nilai error teta : -0.173899993127.99520111-242.3567962646, Error pitch : -0.1832
Tue Aug 14 2018 20:42:08Nilai ballast : 0.05947, Nilai error teta : -0.166199982127.84870147-242.8137969971, Error pitch : -0.1662
Tue Aug 14 2018 20:42:10Nilai ballast : 0.06725, Nilai error teta : -0.159799993127.49629974-243.0000000000, Error pitch : -0.1644
Tue Aug 14 2018 20:42:12Nilai ballast : 0.07285, Nilai error teta : -0.159799993127.49629974-243.0000000000, Error pitch : -0.1598
Tue Aug 14 2018 20:42:15Nilai ballast : 0.07878, Nilai error teta : -0.153699994127.19029998-244.6091003418, Error pitch : -0.156
Tue Aug 14 2018 20:42:17Nilai ballast : 0.08385, Nilai error teta : -0.144999980126.72419738-245.7115936279, Error pitch : -0.1511
Tue Aug 14 2018 20:42:19Nilai ballast : 0.08801, Nilai error teta : -0.141499996126.59490203-246.0032958984, Error pitch : -0.145
Tue Aug 14 2018 20:42:21Nilai ballast : 0.08993, Nilai error teta : -0.132599994126.17720031-246.9219055176, Error pitch : -0.1355
Tue Aug 14 2018 20:42:24Nilai ballast : 0.09531, Nilai error teta : -0.126199990125.89119720-247.5769958496, Error pitch : -0.1326
