2023-06-21,10:29:31,BE,statusResetBE,MM,MM,rudder,mainThruster,bow,_
2023-06-21,10:32:14,358,0,20,30,1500,1200,0,
2023-06-21,10:32:15,362,0,20,30,1500,1200,0,
2023-06-21,10:32:16,355,0,20,30,1500,1200,0,
2023-06-21,10:32:17,363,0,20,30,1500,1200,0,
2023-06-21,10:32:18,362,0,20,30,1500,1200,0,
2023-06-21,10:32:19,362,0,20,30,1500,1200,0,
2023-06-21,10:32:20,370,0,20,30,1500,1200,0,
2023-06-21,10:32:21,361,0,20,30,1450,1200,0,
2023-06-21,10:32:22,377,0,20,30,1450,1200,0,
2023-06-21,10:32:23,375,0,20,30,1450,1200,0,
2023-06-21,10:32:24,382,0,20,30,1450,1200,0,
2023-06-21,10:32:25,380,0,20,30,1500,1200,0,
2023-06-21,10:32:26,371,0,20,30,1450,1200,0,
2023-06-21,10:32:27,384,0,20,30,1450,1200,0,
2023-06-21,10:32:28,383,0,20,30,1450,1200,0,
2023-06-21,10:32:29,390,0,20,30,1450,1200,0,
2023-06-21,10:32:30,377,0,20,30,1500,1200,0,
2023-06-21,10:32:31,397,0,20,30,1500,1200,0,
2023-06-21,10:32:32,385,0,20,30,1500,1200,0,
2023-06-21,10:32:33,402,0,20,30,1500,1200,0,
2023-06-21,10:32:34,397,0,20,30,1550,1200,0,
2023-06-21,10:32:35,403,0,20,30,1500,1200,0,
2023-06-21,10:32:36,400,0,20,30,1550,1200,0,
2023-06-21,10:32:37,410,0,20,30,1500,1200,0,
2023-06-21,10:32:38,410,0,20,30,1500,1200,0,
2023-06-21,10:32:39,412,0,20,30,1500,1200,0,
2023-06-21,10:32:40,417,0,20,30,1500,1200,0,
2023-06-21,10:32:41,408,0,20,30,1500,1200,0,
2023-06-21,10:32:42,417,0,20,30,1500,1200,0,
2023-06-21,10:32:43,416,0,20,30,1500,1200,0,
2023-06-21,10:32:44,422,0,20,30,1500,1200,0,
2023-06-21,10:32:45,422,0,20,30,1500,1200,0,
2023-06-21,10:32:46,427,0,20,30,1500,1200,0,
2023-06-21,10:32:47,427,0,20,30,1450,1200,0,
2023-06-21,10:32:48,426,0,20,30,1450,1200,0,
2023-06-21,10:32:49,424,0,20,30,1450,1200,0,
2023-06-21,10:32:50,426,0,20,30,1441,1200,0,
2023-06-21,10:32:51,432,0,20,30,1418,1200,0,
2023-06-21,10:32:52,432,0,20,30,1393,1200,0,
2023-06-21,10:32:53,437,0,20,30,1401,1200,0,
2023-06-21,10:32:54,437,0,20,30,1419,1200,0,
2023-06-21,10:32:55,442,0,20,30,1462,1200,0,
2023-06-21,10:32:56,433,0,20,30,1457,1200,0,
2023-06-21,10:32:57,442,0,20,30,1450,1200,0,
2023-06-21,10:32:58,447,0,20,30,1500,1200,0,
2023-06-21,10:32:59,437,0,20,30,1500,1200,0,
2023-06-21,10:33:00,451,0,20,30,1500,1200,0,
2023-06-21,10:33:01,449,0,20,30,1550,1200,0,
2023-06-21,10:33:02,447,0,20,30,1550,1200,0,
2023-06-21,10:33:03,457,0,20,30,1550,1200,0,
2023-06-21,10:33:04,447,0,20,30,1550,1200,0,
2023-06-21,10:33:05,449,0,20,30,1550,1200,0,
2023-06-21,10:33:06,460,0,20,30,1500,1200,0,
2023-06-21,10:33:07,454,0,20,30,1500,1200,0,
2023-06-21,10:33:08,467,0,20,30,1500,1200,0,
2023-06-21,10:33:09,467,0,20,30,1450,1200,0,
2023-06-21,10:33:10,472,0,20,30,1450,1200,0,
2023-06-21,10:33:12,471,0,20,30,1450,1200,0,
2023-06-21,10:33:13,476,0,20,30,1450,1200,0,
2023-06-21,10:33:14,477,0,20,30,1445,1200,0,
2023-06-21,10:33:15,466,0,20,30,1444,1200,0,
2023-06-21,10:33:16,475,0,20,30,1450,1200,0,
2023-06-21,10:33:17,470,0,20,30,1450,1200,0,
2023-06-21,10:33:18,470,0,20,30,1450,1200,0,
2023-06-21,10:33:19,479,0,20,30,1442,1200,0,
2023-06-21,10:33:20,482,0,20,30,1450,1200,0,
2023-06-21,10:33:21,485,0,20,30,1450,1200,0,
2023-06-21,10:33:22,487,0,20,30,1450,1200,0,
2023-06-21,10:33:23,492,0,20,30,1450,1200,0,
2023-06-21,10:33:24,492,0,20,30,1450,1200,0,
2023-06-21,10:33:25,495,0,20,30,1500,1200,0,
2023-06-21,10:33:26,490,0,20,30,1500,1200,0,
2023-06-21,10:33:27,497,0,20,30,1500,1200,0,
2023-06-21,10:33:28,499,0,20,30,1500,1200,0,
2023-06-21,10:33:29,501,0,20,30,1500,1200,0,
2023-06-21,10:33:30,505,0,20,30,1500,1200,0,
2023-06-21,10:33:31,507,0,20,30,1500,1200,0,
2023-06-21,10:33:32,512,0,20,30,1500,1200,0,
